qa,qb,name_a,arr_a,name_b,arr_b,n_collisions,shape,extent_m,az_deg,centroid_lat,centroid_lng,median_d_a_m,median_d_b_m,asymmetry_median,highway_types,density_per_100m
118,155,Vodjè-Allobatin,11ème Arrondissement,Gbégamey-Gbagoudo,11ème Arrondissement,3,linear_corridor,54.8,62.6,6.37006,2.408029,162.4,146.8,0.096,residential|secondary,5.47
118,155,Vodjè-Allobatin,11ème Arrondissement,Gbégamey-Gbagoudo,11ème Arrondissement,1,point,0.0,,6.370772,2.407807,277.2,160.4,0.421,residential,
118,155,Vodjè-Allobatin,11ème Arrondissement,Gbégamey-Gbagoudo,11ème Arrondissement,1,point,0.0,,6.369107,2.406921,0.0,291.0,1.0,secondary|unclassified,
118,155,Vodjè-Allobatin,11ème Arrondissement,Gbégamey-Gbagoudo,11ème Arrondissement,1,point,0.0,,6.369016,2.408646,264.3,250.2,0.053,residential,
118,215,Vodjè-Allobatin,11ème Arrondissement,Dagbédji-Sikê,7ème Arrondissement,1,point,0.0,,6.371438,2.409925,291.0,203.2,0.302,primary|residential|secondary|trunk,
118,215,Vodjè-Allobatin,11ème Arrondissement,Dagbédji-Sikê,7ème Arrondissement,1,point,0.0,,6.370211,2.408312,196.7,297.5,0.339,secondary,
131,155,Gbégamey-Dodo-Ayidjè,11ème Arrondissement,Gbégamey-Gbagoudo,11ème Arrondissement,1,point,0.0,,6.369488,2.408276,262.4,183.7,0.3,residential,
131,155,Gbégamey-Dodo-Ayidjè,11ème Arrondissement,Gbégamey-Gbagoudo,11ème Arrondissement,1,point,0.0,,6.369016,2.408646,195.9,250.2,0.217,residential,
118,131,Vodjè-Allobatin,11ème Arrondissement,Gbégamey-Dodo-Ayidjè,11ème Arrondissement,1,point,0.0,,6.369488,2.408276,197.8,262.4,0.246,residential,
118,131,Vodjè-Allobatin,11ème Arrondissement,Gbégamey-Dodo-Ayidjè,11ème Arrondissement,1,point,0.0,,6.367314,2.408346,254.4,210.4,0.173,residential|unclassified,
118,131,Vodjè-Allobatin,11ème Arrondissement,Gbégamey-Dodo-Ayidjè,11ème Arrondissement,1,point,0.0,,6.369016,2.408646,264.3,195.9,0.259,residential,
118,131,Vodjè-Allobatin,11ème Arrondissement,Gbégamey-Dodo-Ayidjè,11ème Arrondissement,1,point,0.0,,6.367799,2.408015,189.3,270.9,0.301,residential|unclassified,
118,131,Vodjè-Allobatin,11ème Arrondissement,Gbégamey-Dodo-Ayidjè,11ème Arrondissement,1,point,0.0,,6.368195,2.40852,260.4,199.8,0.233,residential,
155,166,Gbégamey-Gbagoudo,11ème Arrondissement,Agbondjèdo,8ème Arrondissement,1,point,0.0,,6.373166,2.410862,133.4,254.3,0.475,residential,
155,166,Gbégamey-Gbagoudo,11ème Arrondissement,Agbondjèdo,8ème Arrondissement,3,linear_corridor,100.3,133.8,6.373977,2.410159,257.1,173.1,0.327,residential|service,2.99
155,166,Gbégamey-Gbagoudo,11ème Arrondissement,Agbondjèdo,8ème Arrondissement,1,point,0.0,,6.372674,2.408313,131.7,271.4,0.515,residential,
155,166,Gbégamey-Gbagoudo,11ème Arrondissement,Agbondjèdo,8ème Arrondissement,1,point,0.0,,6.373714,2.408768,272.3,130.8,0.52,residential|service,
155,166,Gbégamey-Gbagoudo,11ème Arrondissement,Agbondjèdo,8ème Arrondissement,1,point,0.0,,6.373152,2.408973,210.4,192.6,0.085,residential,
10,155,Minonkpô-Wologuèdè,8ème Arrondissement,Gbégamey-Gbagoudo,11ème Arrondissement,1,point,0.0,,6.373631,2.41257,183.1,287.6,0.363,residential|secondary,
