name,commune,arr,lat,lng,snap_m,snap_node_n_edges,component_size,near_ways,visited_ways,missed_ways,coverage_pct,kdtree_delta_vis,nearby_roundabouts,nearby_oneway_ways,used_dual_connector,classification
Gbégamey-Gbagoudo,COTONOU,11ème Arrondissement,6.371445,2.409802,13.6,11,90087,16,24,4,150.0,13,1,12,False,PARTIAL
Agla-Petit-Château,COTONOU,13ème Arrondissement,6.381824,2.372759,6.7,3,90087,9,10,0,111.1,4,0,3,True,GOOD
Midédji,COTONOU,10ème Arrondissement,6.386138,2.392249,2.3,4,90087,7,7,0,100.0,0,0,0,False,GOOD
Houénoussou,COTONOU,13ème Arrondissement,6.366685,2.391291,5.3,6,90087,9,9,1,100.0,0,0,3,False,GOOD
"Aïdégnon
",ABOMEY-CALAVI,Togba,6.450654,2.326256,25.7,3,90087,10,5,5,50.0,0,0,0,False,PARTIAL
"Zounga
",ABOMEY-CALAVI,Godomey,6.380857,2.292517,11.5,4,90087,10,11,1,110.0,0,0,0,False,GOOD
"Abikouholi
",ABOMEY-CALAVI,Godomey,6.373425,2.324371,9.0,3,90087,9,10,1,111.1,2,0,0,False,GOOD
Togbin-Fandji,ABOMEY-CALAVI,Godomey,6.354732,2.330312,4.6,4,90087,8,9,0,112.5,0,0,0,False,GOOD
Gbéto,COTONOU,5ème Arrondissement,6.360141,2.425343,6.7,4,90087,4,6,0,150.0,0,0,2,False,GOOD
Sèdomey,ABOMEY-CALAVI,Godomey,6.404703,2.341502,9.1,4,90087,10,9,3,90.0,5,0,13,False,PARTIAL
Bozoun,ABOMEY-CALAVI,Kpanroun,6.684059,2.392703,12.9,2,90087,3,3,0,100.0,0,0,0,False,OSM_DATA_LIMIT
Agbondjèdo,COTONOU,8ème Arrondissement,6.375052,2.409389,11.5,4,90087,7,6,2,85.7,1,0,0,False,PARTIAL
Fifadji-Houto (Jak),COTONOU,4ème Arrondissement,6.36292,2.459258,10.7,3,90087,5,5,0,100.0,0,0,2,False,GOOD
Missogbé,COTONOU,10ème Arrondissement,6.381107,2.391582,5.4,4,90087,16,14,6,87.5,-4,1,9,False,PARTIAL
Agamandin,ABOMEY-CALAVI,Abomey-Calavi,6.459126,2.359418,4.5,4,90087,6,6,1,100.0,0,0,0,False,GOOD
Aïdjèdo-Gbègo,COTONOU,6ème Arrondissement,6.382621,2.42775,5.1,4,90087,4,6,0,150.0,0,0,0,False,GOOD
Jéricho-Nord,COTONOU,6ème Arrondissement,6.375399,2.425647,12.7,5,90087,8,9,2,112.5,-2,0,5,False,PARTIAL
Misséssin,COTONOU,4ème Arrondissement,6.370645,2.443651,24.5,4,90087,4,4,0,100.0,0,0,2,False,GOOD
Gbodjo,ABOMEY-CALAVI,Abomey-Calavi,6.468531,2.360021,10.9,3,90087,5,5,0,100.0,1,0,0,False,GOOD
Kindonou,COTONOU,9ème Arrondissement,6.392222,2.364254,6.3,5,90087,10,8,2,80.0,0,0,2,False,PARTIAL
